Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost (Millions),Unadjusted Cost (Millions),Deaths,,,,,,Filtering 40 billion +
Ohio Valley Tornadoes (November 2013),Severe Storm,2013-11-17,2013-11-17,"$1,472.2","$1,090.6",8,,,,,,1472.2
Western Drought (2014),Drought,2014-01-01,2014-12-31,"$5,295.5","$3,951.7",0,,,,,,5295.5
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,2014-01-05,2014-01-08,"$2,911.5","$2,172.7",16,,,,,,2911.5
Plains Severe Weather (April 2014),Severe Storm,2014-04-02,2014-04-03,"$1,893.8","$1,424.0",0,,,,,,1893.8
Central Severe Weather (April 2014),Severe Storm,2014-04-12,2014-04-13,"$1,211.7",$918.0,0,,,,,,1211.7
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,2014-04-27,2014-05-01,"$2,291.6","$1,736.1",33,,,,,,2291.6
Center Severe Weather (May 2014),Severe Storm,2014-05-10,2014-05-14,"$1,126.0",$853.0,0,,,,,,1126
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,2014-05-18,2014-05-23,"$4,901.4","$3,713.2",0,,,,,,4901.4
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,2014-06-03,2014-06-05,"$2,533.4","$1,919.2",2,,,,,,2533.4
Michigan and Northeast Flooding (August 2014),Flooding,2014-08-11,2014-08-13,"$1,361.9","$1,031.7",2,,,,,,1361.9
Rockies/Plains Severe Weather (September 2014),Severe Storm,2014-09-29,2014-10-02,"$1,848.6","$1,400.4",0,,,,,,1848.6
Western Drought (2015),Drought,2015-01-01,2015-12-31,"$5,984.4","$4,466.0",0,,,,,,5984.4
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,2015-02-14,2015-02-20,"$3,969.3","$2,962.1",30,,,,,,3969.3
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,2015-04-07,2015-04-09,"$2,069.0","$1,555.6",2,,,,,,2069
South/Southeast Severe Weather (April 2015),Severe Storm,2015-04-18,2015-04-20,"$1,707.6","$1,283.9",0,,,,,,1707.6
South and Southeast Severe Weather (April 2015),Severe Storm,2015-04-24,2015-04-25,"$1,255.8",$944.0,3,,,,,,1255.8
Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-06,2015-05-10,"$1,679.2","$1,272.1",4,,,,,,1679.2
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015-05-23,2015-05-26,"$3,350.7","$2,500.4",31,,,,,,3350.7
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,2015-06-01,2015-11-30,"$3,996.9","$3,028.0",12,,,,,,3996.9
Central and Northeast Severe Weather (June 2015),Severe Storm,2015-06-21,2015-06-25,"$1,547.1","$1,172.0",1,,,,,,1547.1
South Carolina and East Coast Flooding (October 2015),Flooding,2015-10-01,2015-10-05,"$2,637.7","$1,998.2",25,,,,,,2637.7
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015-12-26,2015-12-29,"$2,609.3","$1,961.9",50,,,,,,2609.3
West/Northeast/Southeast Drought (2016),Drought,2016-01-01,2016-12-31,"$4,580.0","$3,443.5",0,,,,,,4580
Southeast and Eastern Tornadoes (February 2016),Severe Storm,2016-02-22,2016-02-24,"$1,372.8","$1,040.0",10,,,,,,1372.8
Texas and Louisiana Flooding (March 2016),Flooding,2016-03-08,2016-03-12,"$3,029.1","$2,294.8",5,,,,,,3029.1
Southern Severe Weather (March 2016),Severe Storm,2016-03-17,2016-03-18,"$1,597.6","$1,210.3",1,,,,,,1597.6
North Texas Hail Storm (March 2016),Severe Storm,2016-03-23,2016-03-24,"$2,725.5","$2,064.8",0,,,,,,2725.5
North/Central Texas Hail Storm (April 2016),Severe Storm,2016-04-10,2016-04-12,"$4,583.2","$3,498.6",0,,,,,,4583.2
Houston Flooding (April 2016),Flooding,2016-04-17,2016-04-18,"$3,559.1","$2,676.0",8,,,,,,3559.1
South/Southeast Tornadoes (April 2016),Severe Storm,2016-04-26,2016-05-02,"$3,136.7","$2,394.5",6,,,,,,3136.7
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,2016-05-08,2016-05-11,"$2,252.9","$1,719.6",2,,,,,,2252.9
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,2016-05-21,2016-05-26,"$1,501.5","$1,146.3",0,,,,,,1501.5
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2016-06-01,2016-12-31,"$3,113.5","$2,395.0",21,,,,,,3113.5
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,2016-06-22,2016-06-24,"$1,288.5",$968.8,23,,,,,,1288.5
Rockies and Northeast Severe Weather (July 2016),Severe Storm,2016-07-28,2016-07-30,"$1,920.0","$1,465.6",0,,,,,,1920
Louisiana Flooding (August 2016),Flooding,2016-08-12,2016-08-15,"$13,300.0","$10,000.0",13,,,,,,13300
Hurricane Matthew (October 2016),Tropical Cyclone,2016-10-08,2016-10-12,"$13,000.0","$10,000.0",49,,,,,,13000
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-20,2017-01-22,"$1,425.6","$1,105.0",24,,,,,,1425.6
California Flooding (February 2017),Flooding,2017-02-08,2017-02-22,"$1,935.0","$1,500.0",5,,,,,,1935
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2017-02-28,2017-03-01,"$2,329.9","$1,806.0",6,,,,,,2329.9
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,2017-03-01,2017-12-31,"$3,225.0","$2,500.0",0,,,,,,3225
Midwest Tornado Outbreak (March 2017),Severe Storm,2017-03-06,2017-03-08,"$2,807.2","$2,176.0",2,,,,,,2807.2
Southeast Freeze (March 2017),Freeze,2017-03-14,2017-03-16,"$1,290.0","$1,000.0",0,,,,,,1290
South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-26,2017-03-28,"$3,476.6","$2,695.0",0,,,,,,3476.6
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-04,2017-04-06,"$1,249.3",$976.0,1,,,,,,1249.3
South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-20,2017-04-22,"$1,143.0",$893.0,0,,,,,,1143
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,2017-04-25,2017-05-07,"$2,140.3","$1,659.0",20,,,,,,2140.3
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-08,2017-05-11,"$4,288.0","$3,350.0",0,,,,,,4288
North Central Severe Weather and Tornadoes (May 2017),Severe Storm,2017-05-15,2017-05-18,"$1,204.5",$941.0,1,,,,,,1204.5
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,2017-06-01,2017-12-31,"$23,046.4","$18,005.0",54,,,,,,23046.4
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2017-06-09,2017-06-11,"$3,008.0","$2,350.0",0,,,,,,3008
Midwest Severe Weather (June 2017),Severe Storm,2017-06-12,2017-06-16,"$1,931.5","$1,509.0",0,,,,,,1931.5
Midwest Severe Weather (June 2017),Severe Storm,2017-06-27,2017-06-29,"$1,824.0","$1,425.0",0,,,,,,1824
Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,2017-08-31,"$158,750.0","$125,000.0",89,,,,,,
Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,2017-09-12,"$63,500.0","$50,000.0",97,,,,,,
Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,2017-09-21,"$114,300.0","$90,000.0",2981,,,,,,
Central and Eastern Winter Storm (January 2018),Winter Storm,2018-01-03,2018-01-05,"$1,324.6","$1,043.0",22,,,,,,1324.6
Northeast Winter Storm (March 2018),Winter Storm,2018-03-01,2018-03-03,"$2,764.5","$2,194.0",9,,,,,,2764.5
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018-03-18,2018-03-21,"$1,829.5","$1,452.0",0,,,,,,1829.5
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-13,2018-04-16,"$1,647.8","$1,318.0",3,,,,,,1647.8
Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-01,2018-05-04,"$1,737.9","$1,390.0",0,,,,,,1737.9
Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-13,2018-05-15,"$1,712.9","$1,370.0",5,,,,,,1712.9
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,2018-06-01,2018-12-30,"$3,797.4","$2,990.0",0,,,,,,3797.4
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,2018-06-01,2018-12-31,"$30,000.0","$24,000.0",106,,,,,,30000
Texas Hail Storm (June 2018),Severe Storm,2018-06-06,2018-06-06,"$1,625.0","$1,300.0",0,,,,,,1625
Colorado Hail Storm (June 2018),Severe Storm,2018-06-13,2018-06-13,"$1,193.8",$955.0,0,,,,,,1193.8
Colorado Hail Storm (June 2018),Severe Storm,2018-06-18,2018-06-19,"$2,778.8","$2,223.0",0,,,,,,2778.8
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,2018-07-19,2018-07-22,"$1,981.6","$1,585.0",0,,,,,,1981.6
Mountain West Severe Weather (July 2018),Severe Storm,2018-07-26,2018-07-29,"$1,063.8",$851.0,0,,,,,,1063.8
Rockies and Plains Hail Storms (August 2018),Severe Storm,2018-08-06,2018-08-07,"$1,281.4","$1,025.0",0,,,,,,1281.4
Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,2018-09-16,"$29,760.0","$24,000.0",53,,,,,,29760
Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,2018-10-11,"$30,969.0","$24,975.0",49,,,,,,30969
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,2019-02-23,2019-02-25,"$1,534.3","$1,237.5",2,,,,,,1534.3
Missouri River and North Central Flooding (March 2019),Flooding,2019-03-14,2019-03-31,"$13,408.9","$10,727.0",3,,,,,,13408.9
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,2019-03-15,2019-07-31,"$7,649.6","$6,169.0",4,,,,,,7649.6
Texas Hail Storm (March 2019),Severe Storm,2019-03-22,2019-03-24,"$1,903.4","$1,535.0",0,,,,,,1903.4
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019-04-13,2019-04-14,"$1,540.0","$1,252.0",7,,,,,,1540
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-07,2019-05-13,"$1,862.4","$1,514.0",0,,,,,,1862.4
Central Severe Weather (May 2019),Severe Storm,2019-05-16,2019-05-18,"$1,196.9",$973.0,0,,,,,,1196.9
Arkansas River Flooding (June 2019),Flooding,2019-05-20,2019-06-14,"$3,720.8","$3,025.0",5,,,,,,3720.8
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,2019-05-26,2019-05-29,"$5,655.6","$4,598.0",3,,,,,,5655.6
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,2019-06-01,2019-11-30,"$5,535.0","$4,500.0",3,,,,,,5535
Colorado Hail Storms (July 2019),Severe Storm,2019-07-04,2019-07-05,"$1,229.8","$1,008.0",0,,,,,,1229.8
Hurricane Dorian (September 2019),Tropical Cyclone,2019-08-28,2019-09-06,"$1,964.2","$1,610.0",10,,,,,,1964.2
Tropical Storm Imelda (September 2019),Tropical Cyclone,2019-09-17,2019-09-21,"$6,100.0","$5,000.0",5,,,,,,6100
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,2019-10-20,2019-10-20,"$2,095.9","$1,718.0",2,,,,,,2095.9
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020-01-10,2020-01-12,"$1,401.8","$1,149.0",10,,,,,,1401.8
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,2020-02-05,2020-02-07,"$1,520.1","$1,256.0",3,,,,,,1520.1
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2020-03-02,2020-03-04,"$2,850.0","$2,336.0",25,,,,,,2850
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2020-03-27,2020-03-28,"$3,120.9","$2,558.0",0,,,,,,3120.9
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,2020-04-07,2020-04-08,"$3,514.8","$2,881.0",0,,,,,,3514.8
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020-04-12,2020-04-13,"$4,201.9","$3,444.0",35,,,,,,4201.9
Southern Severe Weather (April 2020),Severe Storm,2020-04-21,2020-04-23,"$1,647.0","$1,350.0",3,,,,,,1647
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,2020-04-27,2020-04-30,"$1,252.9","$1,027.0",1,,,,,,1252.9
Central and Eastern Severe Weather (May 2020),Severe Storm,2020-05-03,2020-05-05,"$2,577.9","$2,113.0",2,,,,,,2577.9
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,2020-05-20,2020-05-23,"$1,932.6","$1,584.0",2,,,,,,1932.6
South Texas Hail Storms (May 2020),Severe Storm,2020-05-27,2020-05-27,"$1,708.0","$1,400.0",0,,,,,,1708
Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,2020-06-01,2020-12-30,"$5,439.1","$4,495.0",45,,,,,,5439.1
Central Severe Weather (July 2020),Severe Storm,2020-07-10,2020-07-11,"$1,447.4","$1,196.0",0,,,,,,1447.4
Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-25,2020-07-26,"$1,300.8","$1,075.0",0,,,,,,1300.8
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,2020-08-01,2020-12-30,"$19,904.5","$16,450.0",46,,,,,,19904.5
Hurricane Isaias (August 2020),Tropical Cyclone,2020-08-03,2020-08-04,"$5,756.1","$4,757.0",16,,,,,,5756.1
Central Severe Weather - Derecho (August 2020),Severe Storm,2020-08-10,2020-08-10,"$13,342.7","$11,027.0",4,,,,,,13342.7
Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,2020-08-28,"$28,090.3","$23,215.0",42,,,,,,28090.3
Hurricane Sally (September 2020),Tropical Cyclone,2020-09-15,2020-09-17,"$8,801.5","$7,274.0",5,,,,,,8801.5
Hurricane Delta (October 2020),Tropical Cyclone,2020-10-09,2020-10-11,"$3,469.3","$2,867.0",5,,,,,,3469.3
Hurricane Zeta (October 2020),Tropical Cyclone,2020-10-28,2020-10-29,"$5,266.0","$4,352.0",6,,,,,,5266
Tropical Storm Eta (November 2020),Tropical Cyclone,2020-11-08,2020-11-12,"$1,766.7","$1,460.0",12,,,,,,1766.7
Western Drought and Heat Wave (2021),Drought,2021-01-01,2021-12-31,"$10,117.2","$8,431.0",229,,,,,,10117.2
California Flooding and Severe Weather (January 2021),Flooding,2021-01-24,2021-01-29,"$1,314.0","$1,095.0",2,,,,,,1314
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,2021-02-10,2021-02-19,"$26,996.7","$22,686.0",262,,,,,,26996.7
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021-03-24,2021-03-25,"$1,995.8","$1,677.0",6,,,,,,1995.8
Eastern Severe Weather (March 2021),Severe Storm,2021-03-27,2021-03-28,"$1,601.9","$1,346.0",8,,,,,,1601.9
Texas Hail Storms (April 2021),Severe Storm,2021-04-12,2021-04-15,"$1,755.3","$1,475.0",0,,,,,,1755.3
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,2021-04-27,2021-04-28,"$3,747.4","$3,149.0",0,,,,,,3747.4
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,2021-05-02,2021-05-04,"$1,479.1","$1,264.0",4,,,,,,1479.1
Louisiana Flooding (May 2021),Flooding,2021-05-17,2021-05-18,"$1,569.6","$1,319.0",5,,,,,,1569.6
Western Wildfires (2021),Wildfire,2021-06-01,2021-12-31,"$12,064.0","$10,400.0",8,,,,,,12064
Ohio Valley Hail Storms (June 2021),Severe Storm,2021-06-17,2021-06-18,"$1,980.1","$1,707.0",0,,,,,,1980.1
Central Severe Storms (June 2021),Severe Storm,2021-06-24,2021-06-26,"$1,453.6","$1,253.0",0,,,,,,1453.6
Tropical Storm Elsa (July 2021),Tropical Cyclone,2021-07-07,2021-07-09,"$1,395.3","$1,213.0",1,,,,,,1395.3
Central Severe Storms (July 2021),Severe Storm,2021-07-08,2021-07-11,"$1,242.2","$1,080.0",0,,,,,,1242.2
North Central Severe Weather (August 2021),Severe Storm,2021-08-10,2021-08-13,"$1,476.9","$1,284.0",2,,,,,,1476.9
Tropical Storm Fred (August 2021),Tropical Cyclone,2021-08-16,2021-08-18,"$1,468.9","$1,277.0",7,,,,,,1468.9
Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,2021-09-01,"$84,608.1","$73,572.0",96,,,,,,
Hurricane Nicholas (September 2021),Tropical Cyclone,2021-09-14,2021-09-18,"$1,168.5","$1,016.0",0,,,,,,1168.5
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,2021-12-10,2021-12-10,"$4,424.1","$3,915.0",93,,,,,,4424.1
Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,2021-12-15,2021-12-15,"$2,013.8","$1,782.0",1,,,,,,2013.8
Western/Central Drought and Heat Wave (2022),Drought,2022-01-01,2022-12-31,"$23,480.6","$20,965.0",136,,,,,,23480.6
Texas Hail Storms (February 2022),Severe Storm,2022-02-21,2022-02-22,"$1,118.9","$1,008.0",0,,,,,,1118.9
Southern Tornado Outbreak (March 2022),Severe Storm,2022-03-30,2022-03-30,"$1,369.4","$1,256.0",2,,,,,,1369.4
Western Wildfires (Spring-Fall 2022),Wildfire,2022-04-01,2022-11-30,"$3,296.6","$3,110.0",17,,,,,,3296.6
Southeast Tornado Outbreak (April 2022),Severe Storm,2022-04-04,2022-04-06,"$1,544.8","$1,417.0",3,,,,,,1544.8
Southern Severe Weather (April 2022),Severe Storm,2022-04-11,2022-04-13,"$2,915.7","$2,675.0",1,,,,,,2915.7
Southern and Central Severe Weather (May 2022),Severe Storm,2022-05-01,2022-05-03,"$1,218.9","$1,139.0",1,,,,,,1218.9
North Central Hail Storms (May 2022),Severe Storm,2022-05-09,2022-05-09,"$2,354.4","$2,160.0",0,,,,,,2354.4
North Central Severe Weather (May 2022),Severe Storm,2022-05-11,2022-05-12,"$2,949.6","$2,706.0",1,,,,,,2949.6
North Central Hail Storms (May 2022),Severe Storm,2022-05-19,2022-05-19,"$2,601.4","$2,431.0",0,,,,,,2601.4
Central Severe Weather (June 2022),Severe Storm,2022-06-07,2022-06-08,"$2,025.7","$1,911.0",0,,,,,,2025.7
Central Derecho (June 2022),Severe Storm,2022-06-13,2022-06-13,"$3,386.6","$3,195.0",1,,,,,,3386.6
North Central and Eastern Severe Weather (July 2022),Severe Storm,2022-07-22,2022-07-24,"$1,420.4","$1,340.0",1,,,,,,1420.4
Kentucky and Missouri Flooding (July 2022),Flooding,2022-07-26,2022-07-28,"$1,552.9","$1,465.0",42,,,,,,1552.9
Hurricane Fiona (September 2022),Tropical Cyclone,2022-09-17,2022-09-18,"$2,660.6","$2,510.0",25,,,,,,2660.6
Hurricane Ian (September 2022),Tropical Cyclone,2022-09-28,2022-09-30,"$118,508.0","$111,800.0",152,,,,,,
Hurricane Nicole (November 2022),Tropical Cyclone,2022-11-10,2022-11-11,"$1,071.0","$1,020.0",5,,,,,,1071
Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,2022-12-21,2022-12-26,"$8,868.1","$8,445.0",87,,,,,,8868.1
California Flooding (December 2022 - March 2023),Flooding,2022-12-26,2023-03-19,"$4,725.0","$4,500.0",22,,,,,,4725
Northeastern Winter Storm/Cold Wave (February 2023),Winter Storm,2023-02-02,2023-02-05,"$1,821.1","$1,751.0",1,,,,,,1821.1
Southern and Eastern Severe Weather (March 2023),Severe Storm,2023-03-02,2023-03-03,"$6,111.1","$5,876.0",13,,,,,,6111.1
Southern and Eastern Severe Weather (April 2023),Severe Storm,2023-03-24,2023-03-26,"$2,927.6","$2,815.0",23,,,,,,2927.6
Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,2023-03-31,2023-04-01,"$5,853.2","$5,628.0",33,,,,,,5853.2
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,2023-04-01,2023-09-30,"$14,786.7","$14,082.0",247,,,,,,14786.7
Central and Eastern Severe Weather (April 2023),Severe Storm,2023-04-04,2023-04-06,"$2,927.6","$2,815.0",5,,,,,,2927.6
Fort Lauderdale Flash Flood (April 2023),Flooding,2023-04-12,2023-04-13,"$1,133.0","$1,100.0",0,,,,,,1133
Central and Southern Severe Weather (April 2023),Severe Storm,2023-04-15,2023-04-15,"$1,388.3","$1,335.0",0,,,,,,1388.3
Central Severe Weather (April 2023),Severe Storm,2023-04-19,2023-04-20,"$3,078.4","$2,960.0",1,,,,,,3078.4
Southern Severe Weather (April 2023),Severe Storm,2023-04-25,2023-04-27,"$1,372.8","$1,320.0",0,,,,,,1372.8
Central Severe Weather (May 2023),Severe Storm,2023-05-06,2023-05-08,"$2,222.5","$2,137.0",1,,,,,,2222.5
Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,2023-05-10,2023-05-12,"$3,563.0","$3,426.0",1,,,,,,3563
Texas Hail Storms (May 2023),Severe Storm,2023-05-18,2023-05-19,"$1,690.0","$1,625.0",0,,,,,,1690
Typhoon Mawar (May 2023),Tropical Cyclone,2023-05-24,2023-05-25,"$4,377.5","$4,250.0",2,,,,,,4377.5
Southern Severe Weather (June 2023),Severe Storm,2023-06-11,2023-06-14,"$4,153.1","$4,032.0",0,,,,,,4153.1
Central and Southern Severe Weather (June 2023),Severe Storm,2023-06-15,2023-06-18,"$3,881.1","$3,768.0",5,,,,,,3881.1
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,2023-06-21,2023-06-26,"$5,401.4","$5,244.0",8,,,,,,5401.4
Central Severe Weather (June 2023),Severe Storm,2023-06-28,2023-07-02,"$1,976.8","$1,919.0",3,,,,,,1976.8
Northeastern Flooding and North Central Severe Weather (July 2023),Flooding,2023-07-09,2023-07-15,"$2,230.4","$2,165.0",10,,,,,,2230.4
North Central and Southeastern Severe Weather (July 2023),Severe Storm,2023-07-19,2023-07-21,"$1,887.0","$1,832.0",1,,,,,,1887
North Central and Eastern Severe Weather (July 2023),Severe Storm,2023-07-28,2023-07-29,"$1,526.6","$1,482.0",2,,,,,,1526.6
Northeastern and Eastern Severe Weather (August 2023),Severe Storm,2023-08-05,2023-08-08,"$1,680.2","$1,631.0",4,,,,,,1680.2
Hawaii Firestorm (August 2023),Wildfire,2023-08-08,2023-08-08,"$5,665.0","$5,500.0",100,,,,,,5665
Minnesota Hail Storms (August 2023),Severe Storm,2023-08-11,2023-08-11,"$1,828.3","$1,775.0",0,,,,,,1828.3
Hurricane Idalia (August 2023),Tropical Cyclone,2023-08-29,2023-08-31,"$3,559.7","$3,456.0",5,,,,,,3559.7
Southern Hail Storms (September 2023),Severe Storm,2023-09-23,2023-09-24,"$1,694.5","$1,645.0",0,,,,,,1694.5
East Coast Storm and Flooding (December 2023),Flooding,2023-12-16,2023-12-18,"$1,301.6","$1,276.0",5,,,,,,1301.6
Southern Tornado Outbreak and East Coast Storm (January 2024),Severe Storm,2024-01-08,2024-01-10,"$2,780.2","$2,726.0",3,,,,,,2780.2
Northwest Winter Storm (January 2024),Winter Storm,2024-01-12,2024-01-14,"$1,723.8","$1,690.0",20,,,,,,1723.8
"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",Winter Storm,2024-01-14,2024-01-18,"$2,096.2","$2,055.0",41,,,,,,2096.2
Southern Severe Weather (February 2024),Severe Storm,2024-02-10,2024-02-12,"$1,075.0","$1,054.0",0,,,,,,1075
Central and Eastern Severe Weather (February 2024),Severe Storm,2024-02-27,2024-02-28,"$1,296.9","$1,284.0",0,,,,,,1296.9
Central and Southern Severe Weather (March 2024),Severe Storm,2024-03-12,2024-03-14,"$5,949.0","$5,890.0",3,,,,,,5949
Central Tornado Outbreak and Eastern Severe Weather (April 2024),Severe Storm,2024-04-01,2024-04-03,"$2,500.1","$2,475.0",3,,,,,,2500.1
Southern and Eastern Severe Weather (April 2024),Severe Storm,2024-04-08,2024-04-11,"$2,155.6","$2,134.0",0,,,,,,2155.6
Central and Southern Tornado Outbreak (April 2024),Severe Storm,2024-04-26,2024-04-28,"$1,173.0","$1,173.0",3,,,,,,1173
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Severe Storm,2024-05-06,2024-05-09,"$4,727.0","$4,727.0",3,,,,,,4727
Southern Derecho (May 2024),Severe Storm,2024-05-16,2024-05-17,"$1,212.0","$1,212.0",8,,,,,,1212
"Central, Southern, Eastern Severe Weather (May 2024)",Severe Storm,2024-05-18,2024-05-22,"$4,782.0","$4,782.0",5,,,,,,4782
Central Tornado Outbreak (May 2024),Severe Storm,2024-05-25,2024-05-26,"$2,496.0","$2,496.0",16,,,,,,2496
Texas Hail Storms (May 2024),Severe Storm,2024-05-27,2024-05-28,"$2,025.0","$2,025.0",1,,,,,,2025
Colorado Hail Storms and Southern Severe Weather (May 2024),Severe Storm,2024-05-31,2024-06-01,"$1,886.0","$1,886.0",0,,,,,,1886
