Key,Name,Disaster,Start,End,Cost,Deaths,Count
249,Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,2017-04-25,2017-05-07,"$2,140.30 ",20,1
250,Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-08,2017-05-11,"$4,288.00 ",0,1
251,North Central Severe Weather and Tornadoes (May 2017),Severe Storm,2017-05-15,2017-05-18,"$1,204.50 ",1,1
252,"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,2017-06-01,2017-12-31,"$23,046.40 ",54,1
253,Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2017-06-09,2017-06-11,"$3,008.00 ",0,1
254,Midwest Severe Weather (June 2017),Severe Storm,2017-06-12,2017-06-16,"$1,931.50 ",0,1
255,Midwest Severe Weather (June 2017),Severe Storm,2017-06-27,2017-06-29,"$1,824.00 ",0,1
256,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,2017-08-31,"$158,750.00 ",89,1
257,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,2017-09-12,"$63,500.00 ",97,1
258,Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,2017-09-21,"$114,300.00 ",2981,1
259,Central and Eastern Winter Storm (January 2018),Winter Storm,2018-01-03,2018-01-05,"$1,324.60 ",22,1
260,Northeast Winter Storm (March 2018),Winter Storm,2018-03-01,2018-03-03,"$2,764.50 ",9,1
261,Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018-03-18,2018-03-21,"$1,829.50 ",0,1
262,Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-13,2018-04-16,"$1,647.80 ",3,1
263,Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-01,2018-05-04,"$1,737.90 ",0,1
264,Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-13,2018-05-15,"$1,712.90 ",5,1
265,Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,2018-06-01,2018-12-30,"$3,797.40 ",0,1
266,"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,2018-06-01,2018-12-31,"$30,000.00 ",106,1
267,Texas Hail Storm (June 2018),Severe Storm,2018-06-06,2018-06-06,"$1,625.00 ",0,1
268,Colorado Hail Storm (June 2018),Severe Storm,2018-06-13,2018-06-13,"$1,193.80 ",0,1
269,Colorado Hail Storm (June 2018),Severe Storm,2018-06-18,2018-06-19,"$2,778.80 ",0,1
270,Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,2018-07-19,2018-07-22,"$1,981.60 ",0,1
271,Mountain West Severe Weather (July 2018),Severe Storm,2018-07-26,2018-07-29,"$1,063.80 ",0,1
272,Rockies and Plains Hail Storms (August 2018),Severe Storm,2018-08-06,2018-08-07,"$1,281.40 ",0,1
273,Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,2018-09-16,"$29,760.00 ",53,1
274,Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,2018-10-11,"$30,969.00 ",49,1
275,"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,2019-02-23,2019-02-25,"$1,534.30 ",2,1
276,Missouri River and North Central Flooding (March 2019),Flooding,2019-03-14,2019-03-31,"$13,408.90 ",3,1
277,"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,2019-03-15,2019-07-31,"$7,649.60 ",4,1
278,Texas Hail Storm (March 2019),Severe Storm,2019-03-22,2019-03-24,"$1,903.40 ",0,1
279,Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019-04-13,2019-04-14,"$1,540.00 ",7,1
280,South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-07,2019-05-13,"$1,862.40 ",0,1
281,Central Severe Weather (May 2019),Severe Storm,2019-05-16,2019-05-18,"$1,196.90 ",0,1
282,Arkansas River Flooding (June 2019),Flooding,2019-05-20,2019-06-14,"$3,720.80 ",5,1
283,"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,2019-05-26,2019-05-29,"$5,655.60 ",3,1
284,California and Alaska Wildfires (Summer-Fall 2019),Wildfire,2019-06-01,2019-11-30,"$5,535.00 ",3,1
285,Colorado Hail Storms (July 2019),Severe Storm,2019-07-04,2019-07-05,"$1,229.80 ",0,1
286,Hurricane Dorian (September 2019),Tropical Cyclone,2019-08-28,2019-09-06,"$1,964.20 ",10,1
287,Tropical Storm Imelda (September 2019),Tropical Cyclone,2019-09-17,2019-09-21,"$6,100.00 ",5,1
288,Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,2019-10-20,2019-10-20,"$2,095.90 ",2,1
289,Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020-01-10,2020-01-12,"$1,401.80 ",10,1
290,"South, East and Northeast Severe Weather (February 2020)",Severe Storm,2020-02-05,2020-02-07,"$1,520.10 ",3,1
291,Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2020-03-02,2020-03-04,"$2,850.00 ",25,1
292,Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2020-03-27,2020-03-28,"$3,120.90 ",0,1
293,North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,2020-04-07,2020-04-08,"$3,514.80 ",0,1
294,Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020-04-12,2020-04-13,"$4,201.90 ",35,1
295,Southern Severe Weather (April 2020),Severe Storm,2020-04-21,2020-04-23,"$1,647.00 ",3,1
296,"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,2020-04-27,2020-04-30,"$1,252.90 ",1,1
297,Central and Eastern Severe Weather (May 2020),Severe Storm,2020-05-03,2020-05-05,"$2,577.90 ",2,1
298,"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,2020-05-20,2020-05-23,"$1,932.60 ",2,1
299,South Texas Hail Storms (May 2020),Severe Storm,2020-05-27,2020-05-27,"$1,708.00 ",0,1
300,Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,2020-06-01,2020-12-30,"$5,439.10 ",45,1
301,Central Severe Weather (July 2020),Severe Storm,2020-07-10,2020-07-11,"$1,447.40 ",0,1
302,Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-25,2020-07-26,"$1,300.80 ",0,1
303,"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,2020-08-01,2020-12-30,"$19,904.50 ",46,1
304,Hurricane Isaias (August 2020),Tropical Cyclone,2020-08-03,2020-08-04,"$5,756.10 ",16,1
305,Central Severe Weather - Derecho (August 2020),Severe Storm,2020-08-10,2020-08-10,"$13,342.70 ",4,1
306,Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,2020-08-28,"$28,090.30 ",42,1
307,Hurricane Sally (September 2020),Tropical Cyclone,2020-09-15,2020-09-17,"$8,801.50 ",5,1
308,Hurricane Delta (October 2020),Tropical Cyclone,2020-10-09,2020-10-11,"$3,469.30 ",5,1
309,Hurricane Zeta (October 2020),Tropical Cyclone,2020-10-28,2020-10-29,"$5,266.00 ",6,1
310,Tropical Storm Eta (November 2020),Tropical Cyclone,2020-11-08,2020-11-12,"$1,766.70 ",12,1
311,Western Drought and Heat Wave (2021),Drought,2021-01-01,2021-12-31,"$10,117.20 ",229,1
312,California Flooding and Severe Weather (January 2021),Flooding,2021-01-24,2021-01-29,"$1,314.00 ",2,1
313,"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,2021-02-10,2021-02-19,"$26,996.70 ",262,1
314,Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021-03-24,2021-03-25,"$1,995.80 ",6,1
315,Eastern Severe Weather (March 2021),Severe Storm,2021-03-27,2021-03-28,"$1,601.90 ",8,1
316,Texas Hail Storms (April 2021),Severe Storm,2021-04-12,2021-04-15,"$1,755.30 ",0,1
317,Texas and Oklahoma Severe Weather (April 2021),Severe Storm,2021-04-27,2021-04-28,"$3,747.40 ",0,1
318,Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,2021-05-02,2021-05-04,"$1,479.10 ",4,1
319,Louisiana Flooding (May 2021),Flooding,2021-05-17,2021-05-18,"$1,569.60 ",5,1
320,Western Wildfires (2021),Wildfire,2021-06-01,2021-12-31,"$12,064.00 ",8,1
321,Ohio Valley Hail Storms (June 2021),Severe Storm,2021-06-17,2021-06-18,"$1,980.10 ",0,1
322,Central Severe Storms (June 2021),Severe Storm,2021-06-24,2021-06-26,"$1,453.60 ",0,1
323,Tropical Storm Elsa (July 2021),Tropical Cyclone,2021-07-07,2021-07-09,"$1,395.30 ",1,1
324,Central Severe Storms (July 2021),Severe Storm,2021-07-08,2021-07-11,"$1,242.20 ",0,1
325,North Central Severe Weather (August 2021),Severe Storm,2021-08-10,2021-08-13,"$1,476.90 ",2,1
326,Tropical Storm Fred (August 2021),Tropical Cyclone,2021-08-16,2021-08-18,"$1,468.90 ",7,1
327,Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,2021-09-01,"$84,608.10 ",96,1
328,Hurricane Nicholas (September 2021),Tropical Cyclone,2021-09-14,2021-09-18,"$1,168.50 ",0,1
329,"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,2021-12-10,2021-12-10,"$4,424.10 ",93,1
330,Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,2021-12-15,2021-12-15,"$2,013.80 ",1,1
331,Western/Central Drought and Heat Wave (2022),Drought,2022-01-01,2022-12-31,"$23,480.60 ",136,1
332,Texas Hail Storms (February 2022),Severe Storm,2022-02-21,2022-02-22,"$1,118.90 ",0,1
333,Southern Tornado Outbreak (March 2022),Severe Storm,2022-03-30,2022-03-30,"$1,369.40 ",2,1
334,Western Wildfires (Spring-Fall 2022),Wildfire,2022-04-01,2022-11-30,"$3,296.60 ",17,1
335,Southeast Tornado Outbreak (April 2022),Severe Storm,2022-04-04,2022-04-06,"$1,544.80 ",3,1
336,Southern Severe Weather (April 2022),Severe Storm,2022-04-11,2022-04-13,"$2,915.70 ",1,1
337,Southern and Central Severe Weather (May 2022),Severe Storm,2022-05-01,2022-05-03,"$1,218.90 ",1,1
338,North Central Hail Storms (May 2022),Severe Storm,2022-05-09,2022-05-09,"$2,354.40 ",0,1
339,North Central Severe Weather (May 2022),Severe Storm,2022-05-11,2022-05-12,"$2,949.60 ",1,1
340,North Central Hail Storms (May 2022),Severe Storm,2022-05-19,2022-05-19,"$2,601.40 ",0,1
341,Central Severe Weather (June 2022),Severe Storm,2022-06-07,2022-06-08,"$2,025.70 ",0,1
342,Central Derecho (June 2022),Severe Storm,2022-06-13,2022-06-13,"$3,386.60 ",1,1
343,North Central and Eastern Severe Weather (July 2022),Severe Storm,2022-07-22,2022-07-24,"$1,420.40 ",1,1
344,Kentucky and Missouri Flooding (July 2022),Flooding,2022-07-26,2022-07-28,"$1,552.90 ",42,1
345,Hurricane Fiona (September 2022),Tropical Cyclone,2022-09-17,2022-09-18,"$2,660.60 ",25,1
346,Hurricane Ian (September 2022),Tropical Cyclone,2022-09-28,2022-09-30,"$118,508.00 ",152,1
347,Hurricane Nicole (November 2022),Tropical Cyclone,2022-11-10,2022-11-11,"$1,071.00 ",5,1
348,Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,2022-12-21,2022-12-26,"$8,868.10 ",87,1
349,California Flooding (December 2022 - March 2023),Flooding,2022-12-26,2023-03-19,"$4,725.00 ",22,1
350,Northeastern Winter Storm/Cold Wave (February 2023),Winter Storm,2023-02-02,2023-02-05,"$1,821.10 ",1,1
351,Southern and Eastern Severe Weather (March 2023),Severe Storm,2023-03-02,2023-03-03,"$6,111.10 ",13,1
352,Southern and Eastern Severe Weather (April 2023),Severe Storm,2023-03-24,2023-03-26,"$2,927.60 ",23,1
353,Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,2023-03-31,2023-04-01,"$5,853.20 ",33,1
354,Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,2023-04-01,2023-09-30,"$14,786.70 ",247,1
355,Central and Eastern Severe Weather (April 2023),Severe Storm,2023-04-04,2023-04-06,"$2,927.60 ",5,1
356,Fort Lauderdale Flash Flood (April 2023),Flooding,2023-04-12,2023-04-13,"$1,133.00 ",0,1
357,Central and Southern Severe Weather (April 2023),Severe Storm,2023-04-15,2023-04-15,"$1,388.30 ",0,1
358,Central Severe Weather (April 2023),Severe Storm,2023-04-19,2023-04-20,"$3,078.40 ",1,1
359,Southern Severe Weather (April 2023),Severe Storm,2023-04-25,2023-04-27,"$1,372.80 ",0,1
360,Central Severe Weather (May 2023),Severe Storm,2023-05-06,2023-05-08,"$2,222.50 ",1,1
361,Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,2023-05-10,2023-05-12,"$3,563.00 ",1,1
362,Texas Hail Storms (May 2023),Severe Storm,2023-05-18,2023-05-19,"$1,690.00 ",0,1
363,Typhoon Mawar (May 2023),Tropical Cyclone,2023-05-24,2023-05-25,"$4,377.50 ",2,1
364,Southern Severe Weather (June 2023),Severe Storm,2023-06-11,2023-06-14,"$4,153.10 ",0,1
365,Central and Southern Severe Weather (June 2023),Severe Storm,2023-06-15,2023-06-18,"$3,881.10 ",5,1
366,Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,2023-06-21,2023-06-26,"$5,401.40 ",8,1
367,Central Severe Weather (June 2023),Severe Storm,2023-06-28,2023-07-02,"$1,976.80 ",3,1
368,Northeastern Flooding and North Central Severe Weather (July 2023),Flooding,2023-07-09,2023-07-15,"$2,230.40 ",10,1
369,North Central and Southeastern Severe Weather (July 2023),Severe Storm,2023-07-19,2023-07-21,"$1,887.00 ",1,1
370,North Central and Eastern Severe Weather (July 2023),Severe Storm,2023-07-28,2023-07-29,"$1,526.60 ",2,1
371,Northeastern and Eastern Severe Weather (August 2023),Severe Storm,2023-08-05,2023-08-08,"$1,680.20 ",4,1
372,Hawaii Firestorm (August 2023),Wildfire,2023-08-08,2023-08-08,"$5,665.00 ",100,1
373,Minnesota Hail Storms (August 2023),Severe Storm,2023-08-11,2023-08-11,"$1,828.30 ",0,1
374,Hurricane Idalia (August 2023),Tropical Cyclone,2023-08-29,2023-08-31,"$3,559.70 ",5,1
375,Southern Hail Storms (September 2023),Severe Storm,2023-09-23,2023-09-24,"$1,694.50 ",0,1
376,East Coast Storm and Flooding (December 2023),Flooding,2023-12-16,2023-12-18,"$1,301.60 ",5,1
377,Southern Tornado Outbreak and East Coast Storm (January 2024),Severe Storm,2024-01-08,2024-01-10,"$2,780.20 ",3,1
378,Northwest Winter Storm (January 2024),Winter Storm,2024-01-12,2024-01-14,"$1,723.80 ",20,1
379,"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",Winter Storm,2024-01-14,2024-01-18,"$2,096.20 ",41,1
380,Southern Severe Weather (February 2024),Severe Storm,2024-02-10,2024-02-12,"$1,075.00 ",0,1
381,Central and Eastern Severe Weather (February 2024),Severe Storm,2024-02-27,2024-02-28,"$1,296.90 ",0,1
382,Central and Southern Severe Weather (March 2024),Severe Storm,2024-03-12,2024-03-14,"$5,949.00 ",3,1
383,Central Tornado Outbreak and Eastern Severe Weather (April 2024),Severe Storm,2024-04-01,2024-04-03,"$2,500.10 ",3,1
384,Southern and Eastern Severe Weather (April 2024),Severe Storm,2024-04-08,2024-04-11,"$2,155.60 ",0,1
385,Central and Southern Tornado Outbreak (April 2024),Severe Storm,2024-04-26,2024-04-28,"$1,173.00 ",3,1
386,"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Severe Storm,2024-05-06,2024-05-09,"$4,727.00 ",3,1
387,Southern Derecho (May 2024),Severe Storm,2024-05-16,2024-05-17,"$1,212.00 ",8,1
388,"Central, Southern, Eastern Severe Weather (May 2024)",Severe Storm,2024-05-18,2024-05-22,"$4,782.00 ",5,1
389,Central Tornado Outbreak (May 2024),Severe Storm,2024-05-25,2024-05-26,"$2,496.00 ",16,1
390,Texas Hail Storms (May 2024),Severe Storm,2024-05-27,2024-05-28,"$2,025.00 ",1,1
391,Colorado Hail Storms and Southern Severe Weather (May 2024),Severe Storm,2024-05-31,2024-06-01,"$1,886.00 ",0,1
