Key,Name,Disaster,Start,End,Cost,Deaths,Count
58,Tropical Storm Alberto (July 1994),Tropical Cyclone,1994-07-07,1994-07-10,"$2,116.80 ",32,1
59,Texas Flooding (October 1994),Flooding,1994-10-16,1994-10-25,"$2,100.00 ",19,1
60,California Flooding (January-March 1995),Flooding,1995-01-01,1995-03-31,"$5,225.00 ",27,1
61,Texas Hail Storm (April 1995),Severe Storm,1995-04-28,1995-04-28,"$1,190.30 ",0,1
62,South Plains Severe Weather (May 1995),Severe Storm,1995-05-05,1995-05-07,"$11,302.10 ",32,1
63,"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,1995-07-01,1995-09-30,"$2,017.60 ",872,1
64,Hurricane Erin (August 1995),Tropical Cyclone,1995-08-01,1995-08-07,"$1,742.50 ",6,1
65,Hurricane Marilyn (September 1995),Tropical Cyclone,1995-09-15,1995-09-17,"$4,305.00 ",13,1
66,Hurricane Opal (October 1995),Tropical Cyclone,1995-10-04,1995-10-06,"$9,565.50 ",27,1
67,Blizzard/Floods (January 1996),Winter Storm,1996-01-01,1996-01-31,"$6,096.30 ",187,1
68,Pacific Northwest Severe Flooding (February 1996),Flooding,1996-02-07,1996-02-12,"$2,046.90 ",9,1
69,Southern Plains Drought (Spring-Summer 1996),Drought,1996-03-01,1996-08-31,"$3,636.70 ",0,1
70,Hurricane Fran (September 1996),Tropical Cyclone,1996-09-05,1996-09-08,"$9,963.90 ",37,1
71,New England Flooding (October 1996),Flooding,1996-10-19,1996-10-22,"$1,345.30 ",1,1
72,West Coast Flooding (December 1996-January 1997),Flooding,1997-01-01,1997-01-11,"$5,943.50 ",36,1
73,Northern Plains Flooding (Spring 1997),Flooding,1997-02-03,1997-05-24,"$7,242.70 ",11,1
74,Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,1997-02-28,1997-03-05,"$1,925.80 ",67,1
75,Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,1997-12-01,1998-02-28,"$1,958.80 ",132,1
76,Northeast Ice Storm (January 1998),Winter Storm,1998-01-05,1998-01-09,"$2,719.40 ",16,1
77,Minnesota Severe Storms/Hail (May 1998),Severe Storm,1998-05-15,1998-05-15,"$3,148.30 ",1,1
78,"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,1998-05-30,1998-06-02,"$2,197.30 ",20,1
79,Southern Drought and Heat Wave (Summer 1998),Drought,1998-06-01,1998-08-31,"$6,844.30 ",200,1
80,Central and Eastern Severe Storms and Flooding (June 1998),Severe Storm,1998-06-20,1998-06-24,"$1,725.80 ",12,1
81,Tropical Storm Frances (September 1998),Tropical Cyclone,1998-08-08,1998-08-13,"$1,344.00 ",2,1
82,Hurricane Bonnie (August 1998),Tropical Cyclone,1998-08-27,1998-08-29,"$1,881.60 ",3,1
83,Hurricane Georges (September 1998),Tropical Cyclone,1998-09-20,1998-09-29,"$11,490.20 ",16,1
84,Texas Flooding (October 1998),Flooding,1998-10-16,1998-10-24,"$1,808.80 ",31,1
85,California Freeze (December 1998),Freeze,1998-12-20,1998-12-28,"$4,850.00 ",0,1
86,Central and Eastern Winter Storm (January 1999),Winter Storm,1999-01-01,1999-01-04,"$1,972.10 ",25,1
87,Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1999-01-13,1999-01-16,"$1,684.80 ",0,1
88,Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,1999-05-03,1999-05-06,"$3,802.90 ",55,1
89,Eastern Drought/Heat Wave (Summer 1999),Drought,1999-06-01,1999-08-31,"$4,772.80 ",502,1
90,Hurricane Floyd (September 1999),Tropical Cyclone,1999-09-14,1999-09-16,"$12,138.10 ",77,1
91,Southeast Winter Storm (January 2000),Winter Storm,2000-01-21,2000-01-24,"$1,313.20 ",4,1
92,Western Fire Season (Spring-Summer 2000),Wildfire,2000-03-01,2000-08-31,"$1,967.40 ",0,1
93,Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,2000-03-01,2000-11-30,"$9,294.50 ",140,1
94,Southern Severe Weather (March 2000),Severe Storm,2000-03-28,2000-03-29,"$1,262.70 ",0,1
95,South Florida Flooding (October 2000),Flooding,2000-10-03,2000-10-04,"$1,620.00 ",3,1
96,Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,2001-04-06,2001-04-11,"$5,508.70 ",3,1
97,North Central Severe Weather (May 2001),Severe Storm,2001-04-30,2001-05-01,"$1,194.30 ",0,1
98,Tropical Storm Allison (June 2001),Tropical Cyclone,2001-06-05,2001-06-17,"$14,998.70 ",43,1
99,U.S. Drought (Spring-Fall 2002),Drought,2002-03-01,2002-11-30,"$15,941.50 ",0,1
100,Severe Storms and Tornadoes (April 2002),Severe Storm,2002-04-27,2002-04-28,"$3,663.90 ",7,1
101,Hurricane Lili (October 2002),Tropical Cyclone,2002-08-01,2002-08-05,"$1,921.90 ",2,1
102,Western Fire Season (Fall 2002),Wildfire,2002-09-01,2002-11-30,"$2,301.80 ",21,1
103,Tropical Storm Isidore (September 2002),Tropical Cyclone,2002-09-25,2002-09-27,"$2,001.00 ",5,1
104,Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,2002-11-09,2002-11-11,"$1,245.60 ",28,1
105,Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,2003-03-01,2003-11-30,"$8,680.80 ",35,1
106,Severe Storms/Hail (April 2003),Severe Storm,2003-04-04,2003-04-07,"$3,430.80 ",3,1
107,Severe Storms/Tornadoes (May 2003),Severe Storm,2003-05-03,2003-05-10,"$7,059.50 ",51,1
108,Midwest/Plains Severe Weather (July 2003),Severe Storm,2003-07-04,2003-07-09,"$1,467.30 ",7,1
109,Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,2003-07-21,2003-07-23,"$1,723.90 ",7,1
110,California Wildfires (Fall 2003),Wildfire,2003-09-01,2003-11-30,"$6,613.70 ",22,1
111,Hurricane Isabel (September 2003),Tropical Cyclone,2003-09-18,2003-09-19,"$9,322.90 ",55,1
112,"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,2004-05-21,2004-05-27,"$1,682.90 ",4,1
113,Colorado Hail Storms (June 2004),Severe Storm,2004-06-08,2004-06-09,"$1,153.70 ",0,1
114,Hurricane Charley (August 2004),Tropical Cyclone,2004-08-13,2004-08-14,"$26,559.20 ",35,1
115,Hurricane Frances (September 2004),Tropical Cyclone,2004-09-03,2004-09-09,"$16,170.00 ",48,1
116,Hurricane Ivan (September 2004),Tropical Cyclone,2004-09-12,2004-09-21,"$33,825.80 ",57,1
117,Hurricane Jeanne (September 2004),Tropical Cyclone,2004-09-15,2004-09-29,"$12,369.30 ",28,1
118,Midwest Drought (Spring-Summer 2005),Drought,2005-03-01,2005-08-31,"$2,433.60 ",0,1
119,Southeast Severe Weather (March 2005),Severe Storm,2005-03-24,2005-03-27,"$1,401.30 ",0,1
120,Hurricane Dennis (July 2005),Tropical Cyclone,2005-07-09,2005-07-11,"$4,017.00 ",15,1
121,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,2005-08-30,"$200,047.30 ",1833,1
122,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,2005-09-24,"$29,230.20 ",119,1
123,Hurricane Wilma (October 2005),Tropical Cyclone,2005-10-24,2005-10-24,"$30,020.00 ",35,1
124,Numerous Wildfires (2006),Wildfire,2006-01-01,2006-12-31,"$2,318.10 ",28,1
125,Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,2006-03-01,2006-08-31,"$9,476.80 ",0,1
126,Severe Storms and Tornadoes (March 2006),Severe Storm,2006-03-08,2006-03-13,"$2,100.10 ",10,1
127,"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,2006-04-06,2006-04-08,"$2,502.00 ",10,1
128,Midwest Tornadoes (April 2006),Severe Storm,2006-04-13,2006-04-16,"$3,780.60 ",27,1
129,Northeast Flooding (June 2006),Flooding,2006-06-25,2006-06-28,"$2,358.50 ",20,1
130,North Central Severe Weather and Tornadoes (August 2006),Severe Storm,2006-08-23,2006-08-24,"$1,168.90 ",1,1
131,Central Severe Weather (October 2006),Severe Storm,2006-10-02,2006-10-05,"$1,371.30 ",1,1
132,California Freeze (January 2007),Freeze,2007-01-11,2007-01-17,"$2,170.00 ",1,1
133,Spring Freeze (April 2007),Freeze,2007-04-04,2007-04-10,"$3,168.60 ",0,1
134,East/South Severe Weather and Flooding (April 2007),Severe Storm,2007-04-13,2007-04-17,"$3,811.80 ",9,1
135,Western Wildfires (Summer 2007),Wildfire,2007-06-01,2007-08-31,"$4,139.40 ",12,1
136,Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007-06-01,2007-11-30,"$5,484.60 ",15,1
137,U.S. Drought (2008),Drought,2008-01-01,2008-12-31,"$10,444.70 ",0,1
138,"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,2008-01-04,2008-01-09,"$1,463.30 ",12,1
139,Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008-02-05,2008-02-06,"$1,793.20 ",57,1
140,Southeast Tornadoes (March 2008),Severe Storm,2008-03-14,2008-03-15,"$1,662.60 ",5,1
141,Midwest Flooding (Summer 2008),Flooding,2008-04-01,2008-06-30,"$14,838.00 ",24,1
142,Southern Severe Weather (April 2008),Severe Storm,2008-04-09,2008-04-11,"$1,517.90 ",2,1
143,Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008-05-22,2008-05-27,"$4,392.80 ",13,1
144,Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008-06-06,2008-06-12,"$2,355.70 ",18,1
145,Hurricane Dolly (July 2008),Tropical Cyclone,2008-07-23,2008-07-25,"$1,812.20 ",3,1
146,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,2008-09-03,"$8,575.70 ",53,1
147,U.S. Wildfires (Fall 2008),Wildfire,2008-09-01,2008-11-30,"$1,777.00 ",16,1
148,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,2008-09-14,"$43,198.40 ",112,1
149,Southwest/Great Plains Drought (2009),Drought,2009-01-01,2009-12-31,"$5,203.20 ",0,1
150,Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009-02-10,2009-02-11,"$2,575.40 ",10,1
151,Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009-03-25,2009-03-28,"$2,427.90 ",0,1
152,South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,2009-04-09,2009-04-10,"$2,102.30 ",6,1
153,Central Derecho and Tornadoes (May 2009),Severe Storm,2009-05-07,2009-05-09,"$1,265.80 ",7,1
154,Western Wildfires (Summer-Fall 2009),Wildfire,2009-06-01,2009-11-30,"$1,477.40 ",10,1
155,"Midwest, South and East Severe Weather (June 2009)",Severe Storm,2009-06-09,2009-06-12,"$1,939.00 ",0,1
156,Colorado Hail Storm (July 2009),Severe Storm,2009-07-20,2009-07-20,"$1,460.00 ",0,1
157,Georgia Flooding (September 2009),Flooding,2009-09-19,2009-09-22,"$1,302.80 ",10,1
158,Northeast Winter Storm (February 2010),Winter Storm,2010-02-09,2010-02-11,"$1,184.80 ",3,1
159,Northeast Flooding (March 2010),Flooding,2010-03-01,2010-03-31,"$2,674.00 ",11,1
160,East/South Flooding and Severe Weather (May 2010),Flooding,2010-04-30,2010-05-02,"$3,286.20 ",32,1
161,"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,2010-05-10,2010-05-12,"$4,800.70 ",3,1
162,Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010-06-10,2010-06-15,"$1,297.50 ",2,1
163,Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010-07-20,2010-07-23,"$1,365.60 ",0,1
164,Arizona Severe Weather (October 2010),Severe Storm,2010-10-05,2010-10-06,"$5,472.00 ",0,1
165,Groundhog Day Blizzard (February 2011),Winter Storm,2011-02-01,2011-02-03,"$2,565.70 ",36,1
166,Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,2011-03-01,2011-08-31,"$17,109.50 ",95,1
167,Mississippi River flooding (April-May 2011),Flooding,2011-04-01,2011-05-31,"$4,270.10 ",7,1
168,Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011-04-04,2011-04-05,"$3,885.30 ",9,1
169,Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011-04-08,2011-04-11,"$3,051.00 ",0,1
170,Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011-04-14,2011-04-16,"$2,882.90 ",38,1
171,Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,2011-04-19,2011-04-20,"$1,452.80 ",0,1
172,Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011-04-25,2011-04-28,"$14,310.70 ",321,1
173,Missouri River flooding (May-June 2011),Flooding,2011-05-01,2011-06-30,"$2,863.30 ",5,1
174,Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011-05-22,2011-05-27,"$12,644.50 ",177,1
175,"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2011-06-01,2011-11-30,"$2,530.80 ",5,1
176,Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011-06-18,2011-06-22,"$2,136.60 ",3,1
177,"North Central Severe Weather (July 1, 2011)",Severe Storm,2011-07-01,2011-07-01,"$1,234.40 ",0,1
178,"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,2011-07-10,2011-07-11,"$1,716.60 ",2,1
179,"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,2011-08-17,2011-08-18,"$1,600.40 ",0,1
180,Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,2011-08-28,"$18,756.70 ",45,1
181,Tropical Storm Lee (September 2011),Tropical Cyclone,2011-09-01,2011-09-05,"$3,467.30 ",21,1
182,Northeastern Winter Storm (October 2011),Winter Storm,2011-10-29,2011-10-30,"$1,285.80 ",1,1
183,U.S. Drought/Heat Wave (2012),Drought,2012-01-01,2012-12-31,"$41,705.20 ",123,1
184,Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,2012-03-02,2012-03-03,"$4,286.40 ",42,1
185,Texas Tornadoes (April 2012),Severe Storm,2012-04-02,2012-04-03,"$1,390.90 ",0,1
186,Midwest Tornadoes (April 2012),Severe Storm,2012-04-13,2012-04-14,"$1,539.40 ",6,1
187,Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,2012-04-28,2012-05-01,"$4,488.60 ",1,1
188,Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2012-05-25,2012-05-30,"$3,156.10 ",1,1
189,Western Wildfires (Summer-Fall 2012),Wildfire,2012-06-01,2012-11-30,"$2,381.70 ",8,1
190,Rockies/Southwest Severe Weather (June 2012),Severe Storm,2012-06-06,2012-06-12,"$3,559.00 ",0,1
191,Plains/East/Northeast Derecho (June-July 2012),Severe Storm,2012-06-29,2012-07-02,"$3,957.00 ",28,1
192,Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,2012-08-31,"$3,758.40 ",9,1
193,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,2012-10-31,"$88,453.90 ",159,1
194,Southern Severe Weather (February 2013),Severe Storm,2013-02-24,2013-02-25,"$1,244.80 ",1,1
195,Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,2013-03-01,2013-11-30,"$14,179.30 ",53,1
196,Southeast Severe Weather (March 2013),Severe Storm,2013-03-18,2013-03-18,"$2,727.00 ",1,1
197,Midwest/Plains Severe Weather (April 2013),Severe Storm,2013-04-07,2013-04-11,"$1,949.40 ",1,1
198,Illinois Flooding and Severe Weather (April 2013),Flooding,2013-04-16,2013-04-19,"$1,454.10 ",4,1
199,Midwest/Plains/East Tornadoes (May 2013),Severe Storm,2013-05-18,2013-05-22,"$3,240.50 ",27,1
200,Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,2013-05-27,2013-05-31,"$2,448.40 ",10,1
201,Midwest Severe Weather (August 2013),Severe Storm,2013-08-06,2013-08-07,"$1,396.20 ",0,1
202,Colorado Flooding (September 2013),Flooding,2013-09-10,2013-09-16,"$2,021.40 ",9,1
203,Ohio Valley Tornadoes (November 2013),Severe Storm,2013-11-17,2013-11-17,"$1,472.20 ",8,1
204,Western Drought (2014),Drought,2014-01-01,2014-12-31,"$5,295.50 ",0,1
205,Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,2014-01-05,2014-01-08,"$2,911.50 ",16,1
206,Plains Severe Weather (April 2014),Severe Storm,2014-04-02,2014-04-03,"$1,893.80 ",0,1
207,Central Severe Weather (April 2014),Severe Storm,2014-04-12,2014-04-13,"$1,211.70 ",0,1
208,Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,2014-04-27,2014-05-01,"$2,291.60 ",33,1
209,Center Severe Weather (May 2014),Severe Storm,2014-05-10,2014-05-14,"$1,126.00 ",0,1
210,Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,2014-05-18,2014-05-23,"$4,901.40 ",0,1
211,Rockies/Central Plains Severe Weather (June 2014),Severe Storm,2014-06-03,2014-06-05,"$2,533.40 ",2,1
212,Michigan and Northeast Flooding (August 2014),Flooding,2014-08-11,2014-08-13,"$1,361.90 ",2,1
213,Rockies/Plains Severe Weather (September 2014),Severe Storm,2014-09-29,2014-10-02,"$1,848.60 ",0,1
214,Western Drought (2015),Drought,2015-01-01,2015-12-31,"$5,984.40 ",0,1
215,"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,2015-02-14,2015-02-20,"$3,969.30 ",30,1
216,Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,2015-04-07,2015-04-09,"$2,069.00 ",2,1
217,South/Southeast Severe Weather (April 2015),Severe Storm,2015-04-18,2015-04-20,"$1,707.60 ",0,1
218,South and Southeast Severe Weather (April 2015),Severe Storm,2015-04-24,2015-04-25,"$1,255.80 ",3,1
219,Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-06,2015-05-10,"$1,679.20 ",4,1
220,Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015-05-23,2015-05-26,"$3,350.70 ",31,1
221,Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,2015-06-01,2015-11-30,"$3,996.90 ",12,1
222,Central and Northeast Severe Weather (June 2015),Severe Storm,2015-06-21,2015-06-25,"$1,547.10 ",1,1
223,South Carolina and East Coast Flooding (October 2015),Flooding,2015-10-01,2015-10-05,"$2,637.70 ",25,1
224,Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015-12-26,2015-12-29,"$2,609.30 ",50,1
225,West/Northeast/Southeast Drought (2016),Drought,2016-01-01,2016-12-31,"$4,580.00 ",0,1
226,Southeast and Eastern Tornadoes (February 2016),Severe Storm,2016-02-22,2016-02-24,"$1,372.80 ",10,1
227,Texas and Louisiana Flooding (March 2016),Flooding,2016-03-08,2016-03-12,"$3,029.10 ",5,1
228,Southern Severe Weather (March 2016),Severe Storm,2016-03-17,2016-03-18,"$1,597.60 ",1,1
229,North Texas Hail Storm (March 2016),Severe Storm,2016-03-23,2016-03-24,"$2,725.50 ",0,1
230,North/Central Texas Hail Storm (April 2016),Severe Storm,2016-04-10,2016-04-12,"$4,583.20 ",0,1
231,Houston Flooding (April 2016),Flooding,2016-04-17,2016-04-18,"$3,559.10 ",8,1
232,South/Southeast Tornadoes (April 2016),Severe Storm,2016-04-26,2016-05-02,"$3,136.70 ",6,1
233,Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,2016-05-08,2016-05-11,"$2,252.90 ",2,1
234,Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,2016-05-21,2016-05-26,"$1,501.50 ",0,1
235,Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2016-06-01,2016-12-31,"$3,113.50 ",21,1
236,West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,2016-06-22,2016-06-24,"$1,288.50 ",23,1
237,Rockies and Northeast Severe Weather (July 2016),Severe Storm,2016-07-28,2016-07-30,"$1,920.00 ",0,1
238,Louisiana Flooding (August 2016),Flooding,2016-08-12,2016-08-15,"$13,300.00 ",13,1
239,Hurricane Matthew (October 2016),Tropical Cyclone,2016-10-08,2016-10-12,"$13,000.00 ",49,1
240,Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-20,2017-01-22,"$1,425.60 ",24,1
241,California Flooding (February 2017),Flooding,2017-02-08,2017-02-22,"$1,935.00 ",5,1
242,Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2017-02-28,2017-03-01,"$2,329.90 ",6,1
243,"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,2017-03-01,2017-12-31,"$3,225.00 ",0,1
244,Midwest Tornado Outbreak (March 2017),Severe Storm,2017-03-06,2017-03-08,"$2,807.20 ",2,1
245,Southeast Freeze (March 2017),Freeze,2017-03-14,2017-03-16,"$1,290.00 ",0,1
246,South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-26,2017-03-28,"$3,476.60 ",0,1
247,Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-04,2017-04-06,"$1,249.30 ",1,1
248,South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-20,2017-04-22,"$1,143.00 ",0,1
